**** trial 0 ****
60 at: 2.88  st: 2.88  vt: 10.66  dt: 13.54
61 at: 13.60  st: 13.60  vt: 8.84  dt: 22.44
62 at: 23.92  st: 23.92  vt: 6.18  dt: 30.09
63 at: 25.33  st: 25.33  vt: 1.74  dt: 27.07
64 at: 29.26  st: 29.26  vt: 15.61  dt: 44.87
65 at: 44.42  st: 44.42  vt: 3.24  dt: 47.66
66 at: 45.63  st: 45.63  vt: 37.38  dt: 83.01
67 at: 51.58  st: 51.58  vt: 6.24  dt: 57.82

**** trial 1 ****
69 at: 0.66  st: 0.66  vt: 23.45  dt: 24.11
70 at: 7.61  st: 7.61  vt: 27.10  dt: 34.71
71 at: 26.20  st: 26.20  vt: 14.34  dt: 40.54
72 at: 32.54  st: 34.71  vt: 13.72  dt: 48.43
73 at: 35.11  st: 40.54  vt: 10.67  dt: 51.21
74 at: 40.98  st: 48.43  vt: 5.59  dt: 54.02
75 at: 47.85  st: 51.21  vt: 8.02  dt: 59.24
76 at: 51.86  st: 54.02  vt: 4.65  dt: 58.67

**** trial 2 ****
78 at: 16.89  st: 16.89  vt: 3.04  dt: 19.92
79 at: 18.38  st: 18.38  vt: 13.16  dt: 31.55
80 at: 25.19  st: 25.19  vt: 35.44  dt: 60.63
81 at: 43.90  st: 43.90  vt: 14.38  dt: 58.28
82 at: 44.54  st: 58.28  vt: 0.80  dt: 59.08
83 at: 49.37  st: 59.08  vt: 4.57  dt: 63.65
84 at: 53.35  st: 60.63  vt: 1.81  dt: 62.44
85 at: 56.60  st: 62.44  vt: 6.35  dt: 68.79

